Sales Region 1,Sales Region 2,Appliance,Sales Region 3,ZIP
O,Venezuela,orange,Payroll,K0T 7Z3
Uttar Pradesh,Laos,red,Asset Management,6266
SP,Qatar,,Research and Development,57060
Kay,Austria,,Asset Management,OS0L 7QI
Zl,Taiwan,red,Legal Department,93612
Marche,Niger,red,Advertising,790355
KP,Dominica,red,Asset Management,9804
Florida,China,red,Research and Development,416158
Wielkopolskie,Cameroon,orange,Quality Assurance,31930-551
West Bengal,Timor-Leste,yellow,Quality Assurance,8703
PV,Cambodia,orange,Customer Relations,26706
Wyoming,Northern Mariana Islands,orange,Tech Support,898891
MG,Nauru,,Human Resources,2984 TE
Bavaria,Sint Maarten,yellow,Payroll,74860
CV,Congo (Brazzaville),orange,Public Relations,776743
Metropolitana de Santiago,Åland Islands,yellow,Customer Relations,372705
O'Higgins,Paraguay,orange,Media Relations,823828
AN,Seychelles,orange,Legal Department,WP6 8NM
MH,Lithuania,yellow,Sales and Marketing,93119
Connacht,Saudi Arabia,yellow,Advertising,90701
NSW,Togo,,Media Relations,B3B 0Y4
Comunitat Valenciana,Canada,orange,Public Relations,40214-322
SJ,Åland Islands,,Asset Management,46001
RM,Montserrat,,Asset Management,1876
Comunitat Valenciana,Botswana,yellow,Legal Department,8434
Diy,Macedonia,orange,Advertising,FP91 5FC
Vienna,Nauru,,Finances,16628
NSW,Liberia,orange,Media Relations,233438
NI,Macedonia,yellow,Advertising,93263
Metropolitana de Santiago,Guam,,Legal Department,62818
SJ,Bermuda,,Asset Management,55138-411
KT,New Caledonia,orange,Legal Department,23422
CV,Pitcairn Islands,yellow,Customer Relations,J3Z 1G9
Vorarlberg,China,red,Public Relations,44584-536
Östergötlands län,"Congo, the Democratic Republic of the",orange,Sales and Marketing,6460
NI,Kiribati,red,Customer Relations,87226
Ontario,French Guiana,,Finances,10316
North Island,Costa Rica,orange,Accounting,71340
C,Svalbard and Jan Mayen Islands,red,Media Relations,7124
LA,Switzerland,red,Sales and Marketing,13155
ON,Bahamas,red,Customer Service,N9A 7N1
SP,"Congo, the Democratic Republic of the",red,Legal Department,51510
AN,Guinea-Bissau,,Media Relations,945333
VII,Nigeria,red,Finances,8788
Borno,Marshall Islands,yellow,Advertising,XF7G 5GL
VB,Lebanon,red,Quality Assurance,18490
F,Kazakhstan,orange,Customer Relations,29570-495
Dalarnas län,Argentina,orange,Customer Service,14147
Connacht,Niue,,Payroll,X0B 9S5
RM,Faroe Islands,red,Public Relations,29-956
LD,Latvia,orange,Research and Development,83-181
X,Zambia,red,Customer Service,70020
SL,Tajikistan,yellow,Human Resources,925962
O,India,,Customer Service,71-733
Nevada,Cameroon,red,Asset Management,353294
CN,Guadeloupe,,Tech Support,888927
Dalarnas län,Russian Federation,orange,Research and Development,6154 MS
N.,Marshall Islands,,Asset Management,37644-904
Karnataka,New Zealand,orange,Finances,3881
DE,Niger,orange,Quality Assurance,22729
Quebec,Saudi Arabia,,Payroll,J2M 9A7
NI,Slovenia,,Quality Assurance,15424
Colorado,Cyprus,,Legal Department,6364 LQ
NW,Guatemala,yellow,Customer Service,18270
SP,Cape Verde,yellow,Finances,84238
Hat,Cuba,,Asset Management,78345
AN,Saint Vincent and The Grenadines,yellow,Advertising,26913
PB,Macao,orange,Asset Management,5013
Umbria,Nigeria,orange,Finances,265242
Andalucía,Zimbabwe,red,Public Relations,P6 7QO
IL,Iran,orange,Legal Department,13303
Campania,India,yellow,Payroll,783002
IL,Cambodia,red,Public Relations,60006
Toscana,Cape Verde,orange,Advertising,18859
Metropolitana de Santiago,Isle of Man,orange,Tech Support,11312
Akwa Ibom,Hungary,yellow,Asset Management,14-498
Zl,Curaçao,,Public Relations,82059
Alajuela,Malta,yellow,Human Resources,3317
NI,Costa Rica,yellow,Sales and Marketing,494559
SC,Bahamas,red,Sales and Marketing,88511-950
TN,Iraq,red,Media Relations,17106-265
Dalarnas län,Cape Verde,orange,Research and Development,9097
Bursa,Azerbaijan,yellow,Media Relations,6577
North Island,Djibouti,orange,Payroll,7318
O,Saint Martin,yellow,Asset Management,263180
IL,South Africa,yellow,Research and Development,90459
Podkarpackie,Tajikistan,,Customer Service,P9N 6X9
WV,Hong Kong,orange,Media Relations,75245
North Island,Gabon,,Advertising,4805
HI,Lithuania,yellow,Quality Assurance,1777
UP,Tuvalu,orange,Media Relations,TE49 0GA
VIC,Kazakhstan,,Media Relations,716453
MG,Bosnia and Herzegovina,,Quality Assurance,2494
RM,Cuba,yellow,Advertising,83-112
Jharkhand,"Korea, South",,Accounting,83-920
CA,Tonga,,Research and Development,40013
Araucanía,Mauritius,orange,Customer Service,9919
Metropolitana de Santiago,Montserrat,yellow,Public Relations,69366
IX,France,,Public Relations,84130
Buckinghamshire,Venezuela,red,Media Relations,5050
